"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"29","75.68712994369167","109.1304121989496","0","0","0.04380000000000006","0.04500000000000004","0.0426","1560","0.0004112382156943539","0","0.0004112382156943539","0.0004112382156943539","29_36:0.0026662607623022527;29_30:0.0027221956409353154;29_28:0.006431615643032518","29_36:84;29_30:84;29_28:132","true"
"30","122.88475042958984","93.12485455699604","0","0","0.05359999999999998","0.0596","0.047599999999999976","1560","0.000340836859778508","0","0.000340836859778508","0.000340836859778508","30_31:0.004756862820692487;30_29:0.0027221956409353154","30_31:124;30_29:84","true"
"31","187.67044363375393","192.2314197576632","0","0","0.02429999999999999","0.025000000000000022","0.0236","1560","0.00016231258568029128","0","0.00016231258568029128","0.00016231258568029128","31_18:0.010896429477572855;31_30:0.004756862820692487;31_32:0.00601443652886377","31_18:100;31_30:124;31_32:84","true"
"32","197.4199092965372","158.0145004940724","0","0","0.06789999999999996","0.0728","0.06299999999999994","1560","0.00023259020758003874","0","0.00023259020758003874","0.00023259020758003874","32_31:0.00601443652886377;32_33:1","32_31:84;32_33:84","true"
"33","45.67122237419684","189.08489861662883","0","0","0.4333","0.7162","0.1504","1560","0.008117583497543403","0","0.008117583497543403","0.008117583497543403","33_37:1;33_32:1","33_37:104;33_32:84","true"
"34","271.42743447980274","86.43069859549868","0","0","0.008199999999999985","0.0092","0.007199999999999984","1560","0.0004914282828397511","0","0.0004914282828397511","0.0004914282828397511","34_40:0.0034592607392630037;34_21:0.04804657942773871","34_40:112;34_21:84","true"
"35","173.18966395012703","109.01130384516077","0","0","0.0121","0.0104","0.013800000000000034","1560","0.00024400684884602654","0","0.00024400684884602654","0.00024400684884602654","35_44:0.0032526910324510716;35_25:0.003026988031493927","35_44:124;35_25:124","true"
"36","60.59397920293995","84.61017549744386","0","0","0.04420000000000002","0.0524","0.03600000000000003","1560","0.0005164248857542946","0","0.0005164248857542946","0.0005164248857542946","36_48:0.0032720130559361904;36_29:0.0026662607623022527","36_48:84;36_29:84","true"
"37","151.4467237662935","123.46946650704827","0","0","0.06309999999999993","0.0766","0.0496","1560","0.000275141755985939","0","0.000275141755985939","0.000275141755985939","37_52:0.002956120974101223;37_33:1","37_52:120;37_33:104","true"
"38","134.27587222696843","167.14596331270326","0","0","0.1109","0.129","0.0928","1560","0.0003246938515318065","0","0.0003246938515318065","0.0003246938515318065","38_53:0.008510964863106985;38_39:0.003389774657309136","38_53:124;38_39:84","true"
"39","83.43260648483646","126.19562401960997","0","0","0.01079999999999992","0.0114","0.010199999999999987","1560","0.00022239236912370572","0","0.00022239236912370572","0.00022239236912370572","39_40:0.011874563383194675;39_38:0.003389774657309136","39_40:100;39_38:84","true"
"40","181.38543394141195","109.74223341763746","0","0","0.018399999999999972","0.0194","0.01739999999999997","1560","0.00032816975474732964","0","0.00032816975474732964","0.00032816975474732964","40_34:0.0034592607392630037;40_39:0.011874563383194675;40_41:1","40_34:112;40_39:100;40_41:124","true"
"41","39.07182829510368","47.93747886241488","0","0","0.02499999999999991","0.046666666666666634","0.0033333333333333335","1560","0.002304600782762868","0","0.002304600782762868","0.002304600782762868","41_40:1;41_42:1","41_40:124;41_42:124","true"
"42","210.75007714230662","199.80289236466658","0","0","0.024399999999999977","0.022399999999999975","0.0264","1560","0.0003022162206223942","0","0.0003022162206223942","0.0003022162206223942","42_54:0.00371054418070485;42_43:0.0028494495046019475;42_41:1","42_54:84;42_43:84;42_41:124","true"
"43","214.5088113648762","120.08536616263112","0","0","0.011700000000000044","0.0148","0.008600000000000052","1560","0.00017373038760163062","0","0.00017373038760163062","0.00017373038760163062","43_44:0.0035908866689254304;43_42:0.0028494495046019475","43_44:84;43_42:84","true"
"44","196.11313426921626","227.25599591886396","0","0","0.019100000000000006","0.0178","0.020399999999999974","1560","0.00020497395498380235","0","0.00020497395498380235","0.00020497395498380235","44_35:0.0032526910324510716;44_45:0.008383859239496305;44_43:0.0035908866689254304","44_35:124;44_45:84;44_43:84","true"
"45","52.30161286102258","64.85240683203494","0","0","0.01629999999999998","0.0224","0.010199999999999987","1560","0.0006067724952615837","0","0.0006067724952615837","0.0006067724952615837","45_44:0.008383859239496305;45_46:0.006964365459933147","45_44:84;45_46:124","true"
"46","288.9317150208576","151.3170385497092","0","0","0.04489999999999994","0.04059999999999997","0.0492","1560","0.00018890102028471705","0","0.00018890102028471705","0.00018890102028471705","46_55:0.0039434722000800115;46_45:0.006964365459933147;46_47:0.003282564194041687","46_55:100;46_45:124;46_47:84","true"
"47","208.4372509543571","64.58022089700425","0","0","0.012499999999999956","0.015199999999999991","0.0098","1560","0.000362678023121896","0","0.000362678023121896","0.000362678023121896","47_48:0.003148335906269284;47_46:0.003282564194041687","47_48:84;47_46:84","true"
"48","200.15516235717038","343.4586943347622","0","0","0.055500000000000105","0.05900000000000005","0.052","1560","0.00026892124840723595","0","0.00026892124840723595","0.00026892124840723595","48_36:0.0032720130559361904;48_49:0.004389364295480674;48_47:0.003148335906269284","48_36:84;48_49:84;48_47:84","true"
"49","102.4903857959117","103.14495775080165","0","0","0.009500000000000064","0.0122","0.006800000000000028","1560","0.00025892370338555546","0","0.00025892370338555546","0.00025892370338555546","49_48:0.004389364295480674;49_50:0.004701714238681459","49_48:84;49_50:84","true"
"50","154.91923426185372","217.25966222663754","0","0","0.02310000000000001","0.02300000000000002","0.0232","1560","0.00035209660041590177","0","0.00035209660041590177","0.00035209660041590177","50_56:0.0025600845911696313;50_51:0.0036311547039603598;50_49:0.004701714238681459","50_56:100;50_51:84;50_49:84","true"
"51","211.5667766193629","148.39094921501365","0","0","0.00649999999999995","0.009199999999999986","0.0038","1560","0.00015750138160727323","0","0.00015750138160727323","0.00015750138160727323","51_50:0.0036311547039603598;51_52:0.00202078023652702","51_50:84;51_52:124","true"
