"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"22","32.798385954489554","40.70959714153959","0","0","0.0129999999999999","0.022599999999999953","0.0034","1560","0.0009479232006299948","0","0.0009479232006299948","0.0009479232006299948","22_23:0.007491238359026736;22_21:0.007122547100503224","22_23:100;22_21:100","true"
"23","170.8263745423524","166.44388106799443","0","0","0.021100000000000008","0.016800000000000037","0.0254","1560","0.00018126637765135975","0","0.00018126637765135975","0.00018126637765135975","23_16:0.002942802120921212;23_22:0.007491238359026736;23_24:0.007569097716455198","23_16:200;23_22:100;23_24:84","true"
"24","57.97128156825257","46.87937007839053","0","0","0.008499999999999952","0.014599999999999946","0.0024","1560","0.0009542982895229333","0","0.0009542982895229333","0.0009542982895229333","24_23:0.007569097716455198;24_25:0.007617201643700056","24_23:84;24_25:84","true"
"25","152.79738829999602","166.74149542905917","0","0","0.0252","0.029200000000000004","0.0212","1560","0.0003726669571042899","0","0.0003726669571042899","0.0003726669571042899","25_35:0.0030391192853181093;25_26:0.0026389105036551397;25_24:0.007617201643700056","25_35:124;25_26:100;25_24:84","true"
"26","146.08543509993936","209.4975922933177","0","0","0.12369999999999992","0.1372","0.11019999999999996","1560","0.00036901550485150217","0","0.00036901550485150217","0.00036901550485150217","26_27:0.005018440178176237;26_25:0.0026389105036551397","26_27:84;26_25:100","true"
"27","57.81194811964331","43.68042692638495","0","0","0.09389999999999998","0.1018","0.086","1560","0.00022561688776865968","0","0.00022561688776865968","0.00022561688776865968","27_17:0.0035698125693066074;27_26:0.005018440178176237;27_28:0.002839530560585418","27_17:176;27_26:84;27_28:100","true"
"28","195.76867863015752","189.66557160602244","0","0","0.08520000000000005","0.0862","0.08420000000000005","1560","0.0004323900152957909","0","0.0004323900152957909","0.0004323900152957909","28_27:0.002839530560585418;28_29:0.006421473296182562","28_27:100;28_29:132","true"
"29","121.41398017844915","95.44353423325205","0","0","0.0474","0.05820000000000003","0.0366","1560","0.00023354406817797406","0","0.00023354406817797406","0.00023354406817797406","29_36:0.0028493183253663346;29_30:0.002979991276632704;29_28:0.006421473296182562","29_36:84;29_30:84;29_28:132","true"
"30","119.00634586212523","108.03128850480762","0","0","0.07220000000000004","0.0644","0.07999999999999996","1560","0.000323222764965191","0","0.000323222764965191","0.000323222764965191","30_31:0.0072090859640515925;30_29:0.002979991276632704","30_31:124;30_29:84","true"
"31","165.32949353254733","136.3420661751142","0","0","0.027700000000000058","0.03359999999999996","0.0218","1560","0.001415126296481738","0","0.001415126296481738","0.001415126296481738","31_18:0.01616046602487617;31_30:0.0072090859640515925;31_32:0.009755837395163225","31_18:100;31_30:124;31_32:84","true"
"32","264.94413048396405","216.3151834676797","0","0","0.07240000000000002","0.099","0.04579999999999995","1560","0.0002032363808397788","0","0.0002032363808397788","0.0002032363808397788","32_31:0.009755837395163225;32_33:0.002093412404637257","32_31:84;32_33:84","true"
"33","173.6019229289334","189.08489861662883","0","0","0.39590000000000003","0.7094","0.0824","1560","0.008117583497543403","0","0.008117583497543403","0.008117583497543403","33_37:0.004317489928117396;33_32:0.002093412404637257","33_37:104;33_32:84","true"
"34","239.6511649468128","90.48833648528081","0","0","0.007099999999999995","0.007","0.007199999999999984","1560","0.00014507743204898464","0","0.00014507743204898464","0.00014507743204898464","34_40:0.007019269137106959;34_21:0.0056883339925464516","34_40:112;34_21:84","true"
"35","248.1965793356744","113.6560729578377","0","0","0.010499999999999954","0.0116","0.009399999999999964","1560","0.00034453169950639717","0","0.00034453169950639717","0.00034453169950639717","35_44:0.005218593057391335;35_25:0.0030391192853181093","35_44:124;35_25:124","true"
"36","38.77352731568718","64.19628279183065","0","0","0.05410000000000004","0.0678","0.04039999999999999","1560","0.0008720402349430741","0","0.0008720402349430741","0.0008720402349430741","36_48:0.0033973373492331704;36_29:0.0028493183253663346","36_48:84;36_29:84","true"
