"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"16","388.73431092939387","138.7281579876251","4.513265193848678","0","0.0020999999999999908","0.0033999999999999586","0.0008","1244.4444444444443","0.00011730977808161822","0","0.00011730977808161822","0.00011730977808161822","16_8:0.007854884684238145","16_8:561.7777777777777","true"
"17","327.6017868808733","52.94278689680933","4.675765453793201","0","0.043199999999999905","0.0458","0.04059999999999997","1244.4444444444443","0.0008991619573058436","0","0.0008991619573058436","0.0008991619573058436","17_12:0.013995086360481496;17_30:0.018390296357552627","17_12:561.7777777777777;17_30:561.7777777777777","true"
"18","304.2079784750772","52.06771606629739","4.514815511754497","0","0.0027999999999999137","0.0054","0.00019999999999997797","1244.4444444444443","0.00020898889447934038","0","0.00020898889447934038","0.00020898889447934038","","","true"
"19","363.40019629063136","220.7510427739796","4.444136545370471","0","0.0013999999999999568","0.0023999999999999577","0.0004","1244.4444444444443","0.00018453377839944775","0","0.00018453377839944775","0.00018453377839944775","19_18:0.01689497235532325","19_18:561.7777777777777","true"
"20","523.854163726088","448.7572643879035","4.341267316288692","0","0.026599999999999957","0.022199999999999998","0.031","1244.4444444444443","0.00014685597487652634","0","0.00014685597487652634","0.00014685597487652634","20_19:0.007202639797439847","20_19:561.7777777777777","true"
"21","291.6564669235973","182.07589755813535","4.48519181377301","0","0.009800000000000031","0.0106","0.009000000000000008","1244.4444444444443","0.00022746336368683722","0","0.00022746336368683722","0.00022746336368683722","21_22:0.010661577372801267;21_20:0.01622585919897529","21_22:561.7777777777777;21_20:561.7777777777777","true"
"22","309.2110494434383","60.31377504209552","4.382953475907704","0","0.03990000000000005","0.06000000000000005","0.0198","1244.4444444444443","0.0008637198188263622","0","0.0008637198188263622","0.0008637198188263622","22_23:0.032622762074462575;22_15:0.032469197377065245","22_23:561.7777777777777;22_15:561.7777777777777","true"
"23","322.2984589950364","156.4406855332353","4.531760029269365","0","0.0015000000000000568","0.0018000000000000238","0.0012","1244.4444444444443","0.00011056415558769119","0","0.00011056415558769119","0.00011056415558769119","23_24:0.013520842501616448","23_24:561.7777777777777","true"
"24","336.95074594465115","90.36580296306153","4.646187062776699","0","0.00550000000000006","0.009600000000000053","0.0014","1244.4444444444443","0.00037861177855230894","0","0.00037861177855230894","0.00037861177855230894","24_25:0.0081690257353218","24_25:561.7777777777777","true"
"25","180.13135942144316","222.4911975049069","4.702188163318925","0","0.007099999999999995","0.009399999999999964","0.0048","1244.4444444444443","0.00019420018686421443","0","0.00019420018686421443","0.00019420018686421443","","","true"
"26","224.91947732033506","112.75674724361926","4.6488062759477335","0","0.007500000000000062","0.010399999999999965","0.0046","1244.4444444444443","0.0003036933085225978","0","0.0003036933085225978","0.0003036933085225978","26_16:0.006988002733212928;26_27:0.008657196663708427;26_25:0.01100341589472395","26_16:561.7777777777777;26_27:561.7777777777777;26_25:561.7777777777777","true"
"27","203.26327519738288","45.125824450257085","4.61012076305559","0","0.040000000000000036","0.0342","0.04579999999999995","1244.4444444444443","0.0008671368382391279","0","0.0008671368382391279","0.0008671368382391279","","","true"
"28","151.9061989417985","14.29693322068065","4.516890086951536","0","0.005800000000000027","0.008000000000000007","0.0036","1244.4444444444443","0.00033485730051360357","0","0.00033485730051360357","0.00033485730051360357","28_27:0.011682865727938307","28_27:561.7777777777777","true"
"29","258.04672755461866","210.42404634333215","4.460005206462226","0","0.014499999999999957","0.0162","0.012800000000000034","1244.4444444444443","0.00017181219997727018","0","0.00017181219997727018","0.00017181219997727018","29_30:0.016870703744893606;29_28:0.006658026759066044","29_30:561.7777777777777;29_28:561.7777777777777","true"
"30","254.77548072829836","47.81760119531766","4.64649271190975","0","0.07440000000000002","0.08320000000000005","0.0656","1244.4444444444443","0.001516862722011982","0","0.001516862722011982","0.001516862722011982","","","true"
"31","155.02763698975033","144.88200725022912","4.613023969670836","0","0.009800000000000031","0.0102","0.009399999999999964","1244.4444444444443","0.00041598776735405713","0","0.00041598776735405713","0.00041598776735405713","31_30:0.014437746607928681;31_32:0.007123920942020273","31_30:561.7777777777777;31_32:561.7777777777777","true"
"32","329.5837624928643","98.52048329049875","4.499281639687313","0","0.012299999999999978","0.01","0.014599999999999946","1244.4444444444443","0.00016149310928355635","0","0.00016149310928355635","0.00016149310928355635","","","true"
"33","350.7626824316521","236.9487579649949","4.596922484961894","0","0.0022999999999999687","0.0031999999999999806","0.0014","1244.4444444444443","0.00008631507684306685","0","0.00008631507684306685","0.00008631507684306685","33_20:0.005456944509463768;33_39:0.007435533704990338","33_20:561.7777777777777;33_39:561.7777777777777","true"
